typhoon_id,typhoon_name,province,city_name,impact_time,impact_latitude,impact_longitude,wind_speed,pressure,intensity_code,intensity_level,track_point_index,impact_type,sequence_in_city
2402,MALIKSI,Guangdong,Yangjiang,2024053118,21.6,111.6,18,998,2,强热带风暴,11,中心经过,1
2402,MALIKSI,Guangdong,Yangjiang,2024053121,22.0,111.9,18,998,2,强热带风暴,12,中心经过,2
2402,MALIKSI,Guangdong,Yangjiang,2024060100,22.4,112.1,15,1000,1,热带风暴,13,中心经过,3
2402,MALIKSI,Guangdong,Yunfu,2024060103,22.8,112.3,15,1000,1,热带风暴,14,中心经过,1
2402,MALIKSI,Guangdong,Zhaoqing,2024060106,23.3,112.6,13,1002,1,热带风暴,15,中心经过,1
2402,MALIKSI,Guangdong,Qingyuan,2024060109,23.7,112.9,13,1002,1,热带风暴,16,中心经过,1
2402,MALIKSI,Guangdong,Qingyuan,2024060112,24.0,113.5,13,1002,1,热带风暴,17,中心经过,2
2402,MALIKSI,Guangdong,Heyuan,2024060115,24.4,114.4,10,1005,0,热带低压,18,中心经过,1
2402,MALIKSI,Jiangxi,Ganzhou,2024060118,24.7,115.0,10,1005,0,热带低压,19,中心经过,1
2402,MALIKSI,Jiangxi,Ganzhou,2024060121,24.8,115.6,10,1005,0,热带低压,20,中心经过,2
2402,MALIKSI,Guangdong,Meizhou,2024060200,24.8,116.3,10,1005,0,热带低压,21,中心经过,1
2402,MALIKSI,Fujian,Longyan,2024060203,24.6,116.8,10,1005,0,热带低压,22,中心经过,1
2402,MALIKSI,Fujian,Zhangzhou,2024060206,24.3,117.1,10,1005,0,热带低压,23,中心经过,1
2403,GAEMI,Fujian,Putian,2024072518,25.5,118.8,28,978,3,台风,36,中心经过,1
2403,GAEMI,Fujian,Fuzhou,2024072521,25.9,118.6,25,980,3,台风,37,中心经过,1
2403,GAEMI,Fujian,Nanping,2024072600,26.5,118.2,25,982,3,台风,38,中心经过,1
2403,GAEMI,Fujian,Nanping,2024072603,27.0,117.9,23,984,2,强热带风暴,39,中心经过,2
2403,GAEMI,Fujian,Nanping,2024072606,27.4,117.7,20,986,2,强热带风暴,40,中心经过,3
2403,GAEMI,Fujian,Nanping,2024072609,27.8,117.4,18,988,2,强热带风暴,41,中心经过,4
2403,GAEMI,Jiangxi,Yingtan,2024072612,28.0,117.1,18,988,2,强热带风暴,42,中心经过,1
2403,GAEMI,Jiangxi,Yingtan,2024072615,28.2,116.8,15,992,1,热带风暴,43,中心经过,2
2403,GAEMI,Jiangxi,Nanchang,2024072618,28.4,116.4,15,992,1,热带风暴,44,中心经过,1
2403,GAEMI,Jiangxi,Nanchang,2024072621,28.8,116.2,15,992,1,热带风暴,45,中心经过,2
2403,GAEMI,Jiangxi,Nanchang,2024072700,29.1,116.1,15,994,1,热带风暴,46,中心经过,3
2403,GAEMI,Jiangxi,Jiujiang,2024072703,29.4,115.9,15,995,1,热带风暴,47,中心经过,1
2403,GAEMI,Jiangxi,Jiujiang,2024072706,29.7,115.6,15,995,1,热带风暴,48,中心经过,2
2403,GAEMI,Hubei,Huangshi,2024072709,29.7,115.4,15,995,1,热带风暴,49,中心经过,1
2403,GAEMI,Jiangxi,Jiujiang,2024072712,29.6,115.2,13,998,1,热带风暴,50,中心经过,3
2403,GAEMI,Jiangxi,Jiujiang,2024072715,29.5,114.9,13,998,1,热带风暴,51,中心经过,4
2403,GAEMI,Hubei,Xianning,2024072718,29.5,114.7,13,998,1,热带风暴,52,中心经过,1
2403,GAEMI,Hubei,Xianning,2024072721,29.5,114.4,13,998,1,热带风暴,53,中心经过,2
2403,GAEMI,Hubei,Xianning,2024072800,29.5,114.2,10,998,0,热带低压,54,中心经过,3
2404,PRAPIROON,Hainan,Hainan,2024072118,18.8,110.2,28,985,3,台风,16,中心经过,1
2404,PRAPIROON,Hainan,Hainan,2024072121,19.4,109.7,23,990,2,强热带风暴,17,中心经过,2
2404,PRAPIROON,Hainan,Hainan,2024072200,19.5,109.2,23,990,2,强热带风暴,18,中心经过,3
2411,YAGI,Hainan,Hainan,2024090609,19.8,110.8,60,920,6,变性温带气旋,27,中心经过,1
