typhoon_id,typhoon_name,province,city_name,impact_time,impact_latitude,impact_longitude,wind_speed,pressure,intensity_code,intensity_level,track_point_index,impact_type,sequence_in_city
2002,Nuri,Guangdong,Yangjiang,2020061403,21.8,111.7,18,995,2,强热带风暴,22,中心经过,1
2002,Nuri,Guangdong,Maoming,2020061406,22.1,111.1,15,998,1,热带风暴,23,中心经过,1
2002,Nuri,Guangxi,Yulin,2020061409,22.6,110.3,13,1002,1,热带风暴,24,中心经过,1
2002,Nuri,Guangxi,Guigang,2020061412,23.1,109.4,10,1005,0,热带低压,25,中心经过,1
2003,Sinlaku,Hainan,Hainan,2020080100,18.9,110.4,13,995,1,热带风暴,7,中心经过,1
2003,Sinlaku,Hainan,Hainan,2020080103,18.9,109.5,13,995,1,热带风暴,8,中心经过,2
2003,Sinlaku,Hainan,Hainan,2020080106,19.0,108.7,13,994,1,热带风暴,9,中心经过,3
2004,Hagupit,Zhejiang,Wenzhou,2020080321,28.3,120.8,38,970,4,强台风,18,中心经过,1
2004,Hagupit,Zhejiang,Taizhou,2020080400,28.6,120.6,28,985,3,台风,19,中心经过,1
2004,Hagupit,Zhejiang,Jinhua,2020080403,29.0,120.6,28,985,3,台风,20,中心经过,1
2004,Hagupit,Zhejiang,Shaoxing,2020080406,29.6,120.6,25,990,3,台风,21,中心经过,1
2004,Hagupit,Zhejiang,Shaoxing,2020080409,30.1,120.6,23,995,2,强热带风暴,22,中心经过,2
2004,Hagupit,Zhejiang,Jiaxing,2020080412,30.8,120.6,23,995,2,强热带风暴,23,中心经过,1
2004,Hagupit,Jiangsu,Suzhou,2020080415,31.6,120.6,20,998,2,强热带风暴,24,中心经过,1
2004,Hagupit,Jiangsu,Nantong,2020080418,32.5,120.5,20,998,2,强热带风暴,25,中心经过,1
2004,Hagupit,Jiangsu,Yancheng,2020080421,33.5,120.5,18,998,2,强热带风暴,26,中心经过,1
2006,Mekkhala,Fujian,Zhangzhou,2020081100,24.1,117.8,38,975,4,强台风,13,中心经过,1
2006,Mekkhala,Fujian,Zhangzhou,2020081103,24.7,117.5,23,995,2,强热带风暴,14,中心经过,2
2006,Mekkhala,Fujian,Longyan,2020081106,25.5,117.0,15,1002,1,热带风暴,15,中心经过,1
2007,Higos,Guangdong,Jiangmen,2020081903,22.6,112.7,23,992,2,强热带风暴,17,中心经过,1
2007,Higos,Guangdong,Yunfu,2020081906,23.0,112.2,20,995,2,强热带风暴,18,中心经过,1
2007,Higos,Guangdong,Zhaoqing,2020081909,23.5,111.5,18,998,2,强热带风暴,19,中心经过,1
2007,Higos,Guangxi,Hezhou,2020081912,23.9,110.9,15,1000,1,热带风暴,20,中心经过,1
2007,Higos,Guangxi,Guilin,2020081915,24.4,110.4,13,1004,1,热带风暴,21,中心经过,1
2008,Bavi,Jilin,Tonghua,2020082706,42.2,125.5,20,990,2,强热带风暴,26,中心经过,1
2008,Bavi,Jilin,Changchun,2020082712,44.2,126.0,15,998,1,热带风暴,27,中心经过,1
2008,Bavi,Heilongjiang,Harbin,2020082718,45.5,126.9,13,998,1,热带风暴,28,中心经过,1
2008,Bavi,Heilongjiang,Harbin,2020082800,46.0,127.0,13,1002,9,减弱为低压,29,中心经过,2
2009,Maysak,Jilin,Yanbian Korean,2020090306,42.7,128.8,23,975,2,强热带风暴,26,中心经过,1
2009,Maysak,Jilin,Changchun,2020090312,45.1,126.9,18,978,2,强热带风暴,27,中心经过,1
2009,Maysak,Heilongjiang,Suihua,2020090318,47.0,125.4,18,978,2,强热带风暴,28,中心经过,1
2009,Maysak,Heilongjiang,Qiqihar,2020090400,47.8,124.5,18,978,9,减弱为低压,29,中心经过,1
2009,Maysak,Nei Mongol,Hulunbuir,2020090406,49.1,123.1,15,980,9,减弱为低压,30,中心经过,1
2009,Maysak,Nei Mongol,Hulunbuir,2020090412,49.6,122.8,15,980,9,减弱为低压,31,中心经过,2
2009,Maysak,Nei Mongol,Hulunbuir,2020090418,49.9,123.4,13,990,9,减弱为低压,32,中心经过,3
2009,Maysak,Nei Mongol,Hulunbuir,2020090500,50.2,124.3,13,990,9,减弱为低压,33,中心经过,4
2009,Maysak,Nei Mongol,Hulunbuir,2020090506,51.3,125.1,10,998,9,减弱为低压,34,中心经过,5
2009,Maysak,Heilongjiang,Daxing'anling,2020090512,52.5,126.0,10,998,9,减弱为低压,35,中心经过,1
2010,Haishen,Jilin,Yanbian Korean,2020090718,42.6,128.4,20,990,2,强热带风暴,32,中心经过,1
2010,Haishen,Jilin,Yanbian Korean,2020090800,43.9,128.1,18,990,2,强热带风暴,33,中心经过,2
2010,Haishen,Heilongjiang,Harbin,2020090806,45.3,127.8,18,990,9,减弱为低压,34,中心经过,1
2010,Haishen,Heilongjiang,Harbin,2020090812,45.7,127.2,15,992,9,减弱为低压,35,中心经过,2
2016,Nangka,Hainan,Hainan,2020101312,19.2,110.5,25,988,3,台风,15,中心经过,1
2016,Nangka,Hainan,Hainan,2020101315,19.6,109.6,23,990,2,强热带风暴,16,中心经过,2
