typhoon_id,typhoon_name,province,city_name,impact_time,impact_latitude,impact_longitude,wind_speed,pressure,intensity_code,intensity_level,track_point_index,impact_type,sequence_in_city
0000,(nameless),Guangdong,Huizhou,2022080403,22.8,114.7,13,1002,1,热带风暴,7,中心经过,1
0000,(nameless),Guangdong,Dongguan,2022080406,22.8,114.0,13,1002,1,热带风暴,8,中心经过,1
0000,(nameless),Guangdong,Foshan,2022080409,22.9,113.2,13,1002,1,热带风暴,9,中心经过,1
2203,Chaba,Guangdong,Maoming,2022070209,21.6,110.9,30,970,3,台风,19,中心经过,1
2203,Chaba,Guangdong,Maoming,2022070212,21.9,110.7,25,980,3,台风,20,中心经过,2
2203,Chaba,Guangxi,Yulin,2022070215,22.3,110.5,25,982,3,台风,21,中心经过,1
2203,Chaba,Guangxi,Yulin,2022070218,22.6,110.4,23,985,2,强热带风暴,22,中心经过,2
2203,Chaba,Guangxi,Yulin,2022070221,22.9,110.4,20,988,2,强热带风暴,23,中心经过,3
2203,Chaba,Guangxi,Guigang,2022070300,23.4,110.4,20,988,2,强热带风暴,24,中心经过,1
2203,Chaba,Guangxi,Guigang,2022070303,23.8,110.4,18,992,2,强热带风暴,25,中心经过,2
2203,Chaba,Guangxi,Laibin,2022070306,24.2,110.4,18,992,2,强热带风暴,26,中心经过,1
2203,Chaba,Guangxi,Guilin,2022070309,24.5,110.4,15,994,1,热带风暴,27,中心经过,1
2203,Chaba,Guangxi,Guilin,2022070312,24.8,110.5,15,994,1,热带风暴,28,中心经过,2
2203,Chaba,Guangxi,Guilin,2022070315,25.1,110.6,15,994,1,热带风暴,29,中心经过,3
2203,Chaba,Guangxi,Guilin,2022070318,25.4,110.9,13,994,1,热带风暴,30,中心经过,4
2203,Chaba,Guangxi,Guilin,2022070321,25.7,111.3,13,994,1,热带风暴,31,中心经过,5
2203,Chaba,Hunan,Yongzhou,2022070400,26.0,111.6,10,996,0,热带低压,32,中心经过,1
2203,Chaba,Hunan,Yongzhou,2022070403,26.3,112.0,10,996,0,热带低压,33,中心经过,2
2203,Chaba,Hunan,Hengyang,2022070406,26.7,112.3,10,996,0,热带低压,34,中心经过,1
2203,Chaba,Hunan,Hengyang,2022070409,27.1,112.6,10,996,0,热带低压,35,中心经过,2
2203,Chaba,Hunan,Xiangtan,2022070412,27.4,112.9,10,996,0,热带低压,36,中心经过,1
2203,Chaba,Hunan,Zhuzhou,2022070415,27.8,113.1,10,996,0,热带低压,37,中心经过,1
2203,Chaba,Hunan,Changsha,2022070418,28.2,113.4,10,996,0,热带低压,38,中心经过,1
2203,Chaba,Hunan,Yueyang,2022070421,28.8,113.9,10,996,0,热带低压,39,中心经过,1
2203,Chaba,Hubei,Xianning,2022070500,29.3,114.0,10,996,0,热带低压,40,中心经过,1
2203,Chaba,Hubei,Xianning,2022070503,29.8,114.2,10,996,0,热带低压,41,中心经过,2
2203,Chaba,Hubei,Wuhan,2022070506,30.3,114.4,10,996,0,热带低压,42,中心经过,1
2203,Chaba,Hubei,Wuhan,2022070509,30.8,114.6,10,996,0,热带低压,43,中心经过,2
2203,Chaba,Henan,Xinyang,2022070512,31.7,115.1,10,996,0,热带低压,44,中心经过,1
2203,Chaba,Anhui,Fuyang,2022070515,32.7,115.3,10,996,0,热带低压,45,中心经过,1
2203,Chaba,Anhui,Fuyang,2022070518,33.2,115.3,10,996,0,热带低压,46,中心经过,2
2203,Chaba,Anhui,Bozhou,2022070521,33.7,115.7,10,996,0,热带低压,47,中心经过,1
2203,Chaba,Anhui,Suzhou,2022070600,34.4,116.5,13,996,9,减弱为低压,48,中心经过,1
2203,Chaba,Shandong,Zaozhuang,2022070603,35.2,117.3,13,996,9,减弱为低压,49,中心经过,1
2203,Chaba,Shandong,Zibo,2022070606,36.0,118.2,15,996,9,减弱为低压,50,中心经过,1
2203,Chaba,Shandong,Weifang,2022070609,36.8,118.9,15,996,9,减弱为低压,51,中心经过,1
2209,Ma-on,Guangdong,Maoming,2022082503,21.6,111.2,30,982,3,台风,22,中心经过,1
2209,Ma-on,Guangdong,Zhanjiang,2022082506,21.7,110.0,23,990,2,强热带风暴,23,中心经过,1
2212,Muifa,Shanghai,Shanghai,2022091418,31.2,121.5,33,975,4,强台风,40,中心经过,1
2212,Muifa,Jiangsu,Nantong,2022091421,31.9,121.2,30,980,3,台风,41,中心经过,1
2212,Muifa,Jiangsu,Yancheng,2022091500,32.6,120.8,28,985,3,台风,42,中心经过,1
2212,Muifa,Jiangsu,Yancheng,2022091503,33.3,120.5,25,988,3,台风,43,中心经过,2
2212,Muifa,Shandong,Qingdao,2022091518,36.5,120.5,23,990,2,强热带风暴,48,中心经过,1
2212,Muifa,Shandong,Yantai,2022091521,37.0,120.7,23,990,2,强热带风暴,49,中心经过,1
2212,Muifa,Liaoning,Dalian,2022091606,39.6,122.5,20,995,2,强热带风暴,52,中心经过,1
2212,Muifa,Liaoning,Dandong,2022091609,40.6,123.8,20,998,2,强热带风暴,53,中心经过,1
2212,Muifa,Liaoning,Fushun,2022091612,41.5,124.7,15,1000,9,减弱为低压,54,中心经过,1
2212,Muifa,Jilin,Tonghua,2022091615,42.3,126.0,13,1002,9,减弱为低压,55,中心经过,1
2212,Muifa,Jilin,Baishan,2022091618,42.8,127.1,13,1002,9,减弱为低压,56,中心经过,1
2212,Muifa,Jilin,Yanbian Korean,2022091621,43.5,128.1,10,1005,9,减弱为低压,57,中心经过,1
2222,Nalgae,Guangdong,Zhuhai,2022110221,22.3,113.5,15,1002,1,热带风暴,36,中心经过,1
2222,Nalgae,Guangdong,Zhuhai,2022110300,22.2,113.2,10,1010,0,热带低压,37,中心经过,2
